"",".metric",".estimator",".estimate","model","dataset","description","value_round"
"150","mape","standard",8.40794684439578,"ets_xls","M234","FRANCE PRIVATE INDUSTRY FRANCE",8.408
"151","smape","standard",9.062885753642,"ets_xls","M234","FRANCE PRIVATE INDUSTRY FRANCE",9.063
"152","mase","standard",0.978818955998644,"ets_xls","M234","FRANCE PRIVATE INDUSTRY FRANCE",0.979
"153","rmse","standard",87.583173818092,"prophet","M234","FRANCE PRIVATE INDUSTRY FRANCE",87.583
"154","rsq","standard",0.575565175590787,"prophet","M234","FRANCE PRIVATE INDUSTRY FRANCE",0.576
"155","msd","standard",39.9699374546466,"prophet","M234","FRANCE PRIVATE INDUSTRY FRANCE",39.97
"156","mae","standard",68.5494741313725,"prophet","M234","FRANCE PRIVATE INDUSTRY FRANCE",68.549
"157","mpe","standard",2.56369664093931,"prophet","M234","FRANCE PRIVATE INDUSTRY FRANCE",2.564
"158","mape","standard",4.63905228708619,"prophet","M234","FRANCE PRIVATE INDUSTRY FRANCE",4.639
"159","smape","standard",4.77809614447735,"prophet","M234","FRANCE PRIVATE INDUSTRY FRANCE",4.778
"160","mase","standard",0.544391632478912,"prophet","M234","FRANCE PRIVATE INDUSTRY FRANCE",0.544
"161","rmse","standard",442.076893527375,"ets_xls","M235","FRANCE PRIVATE INDUSTRY FRANCE",442.077
"162","rsq","standard",0.828720628417848,"ets_xls","M235","FRANCE PRIVATE INDUSTRY FRANCE",0.829
"163","msd","standard",-369.278351183487,"ets_xls","M235","FRANCE PRIVATE INDUSTRY FRANCE",-369.278
"164","mae","standard",369.278351183487,"ets_xls","M235","FRANCE PRIVATE INDUSTRY FRANCE",369.278
"165","mpe","standard",-8.00507706711737,"ets_xls","M235","FRANCE PRIVATE INDUSTRY FRANCE",-8.005
"166","mape","standard",8.00507706711737,"ets_xls","M235","FRANCE PRIVATE INDUSTRY FRANCE",8.005
"167","smape","standard",7.53873537919022,"ets_xls","M235","FRANCE PRIVATE INDUSTRY FRANCE",7.539
"168","mase","standard",0.604135199077618,"ets_xls","M235","FRANCE PRIVATE INDUSTRY FRANCE",0.604
"169","rmse","standard",260.133161900523,"prophet","M235","FRANCE PRIVATE INDUSTRY FRANCE",260.133
"170","rsq","standard",0.854650034717738,"prophet","M235","FRANCE PRIVATE INDUSTRY FRANCE",0.855
"171","msd","standard",-131.610360780115,"prophet","M235","FRANCE PRIVATE INDUSTRY FRANCE",-131.61
"172","mae","standard",207.836868316652,"prophet","M235","FRANCE PRIVATE INDUSTRY FRANCE",207.837
"173","mpe","standard",-2.832982061714,"prophet","M235","FRANCE PRIVATE INDUSTRY FRANCE",-2.833
"174","mape","standard",4.34405396751331,"prophet","M235","FRANCE PRIVATE INDUSTRY FRANCE",4.344
"175","smape","standard",4.22655953122348,"prophet","M235","FRANCE PRIVATE INDUSTRY FRANCE",4.227
"176","mase","standard",0.34001876203612,"prophet","M235","FRANCE PRIVATE INDUSTRY FRANCE",0.34
"177","rmse","standard",1794.08957391718,"ets_xls","M236","FRANCE PRIVATE INDUSTRY FRANVCE",1794.09
"178","rsq","standard",0.76815003612045,"ets_xls","M236","FRANCE PRIVATE INDUSTRY FRANVCE",0.768
"179","msd","standard",1465.3527498512,"ets_xls","M236","FRANCE PRIVATE INDUSTRY FRANVCE",1465.353
"180","mae","standard",1547.49519694421,"ets_xls","M236","FRANCE PRIVATE INDUSTRY FRANVCE",1547.495
"181","mpe","standard",12.503725338718,"ets_xls","M236","FRANCE PRIVATE INDUSTRY FRANVCE",12.504
"182","mape","standard",13.2343173276402,"ets_xls","M236","FRANCE PRIVATE INDUSTRY FRANVCE",13.234
"183","smape","standard",14.8343061341442,"ets_xls","M236","FRANCE PRIVATE INDUSTRY FRANVCE",14.834
"184","mase","standard",0.87000321936258,"ets_xls","M236","FRANCE PRIVATE INDUSTRY FRANVCE",0.87
